Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/timeline,20923,15,2800,2747.3071686243916,33.41014999932668,19744.859174999874,2113.1591072026,352.77770105450344,0.2529114140332434,2800,2900,3000,3000,3100,3200,6200,9000,12000,15000,20000
,Aggregated,20923,15,2800,2747.3071686243916,33.41014999932668,19744.859174999874,2113.1591072026,352.77770105450344,0.2529114140332434,2800,2900,3000,3000,3100,3200,6200,9000,12000,15000,20000
