Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/timeline,2770,0,210,212.43832943754038,37.76562300026853,5186.6460250003,2114.729963898917,46.8764535210429,0.0,210,220,230,230,250,260,280,290,5200,5200,5200
,Aggregated,2770,0,210,212.43832943754038,37.76562300026853,5186.6460250003,2114.729963898917,46.8764535210429,0.0,210,220,230,230,250,260,280,290,5200,5200,5200
