PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,392ms,1,1,4
20,124ms,2,1,16
20,95ms,3,1,22
40,8165ms,1,1,4
40,2841ms,2,1,12
40,1780ms,3,1,23
60,9588ms,1,1,0
60,3803ms,2,1,0
60,2431ms,3,1,0
