Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/timeline,7500,4,380,392.15361935638475,29.300210997462273,5559.590060998744,2113.1232,126.88329227642416,0.06767108921409289,380,390,400,400,410,430,460,640,5000,5600,5600
,Aggregated,7500,4,380,392.15361935638475,29.300210997462273,5559.590060998744,2113.1232,126.88329227642416,0.06767108921409289,380,390,400,400,410,430,460,640,5000,5600,5600
