Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/timeline,1187,8,2200,2431.0624507119423,34.35987799457507,15028.401224000845,2093.8222409435552,20.10825629449224,0.13552321007239926,2200,2800,3200,3400,3800,4500,7500,8200,15000,15000,15000
,Aggregated,1187,8,2200,2431.0624507119423,34.35987799457507,15028.401224000845,2093.8222409435552,20.10825629449224,0.13552321007239926,2200,2800,3200,3400,3800,4500,7500,8200,15000,15000,15000
